,frame,pos_x,pos_y,id
181,61.0,946,180,Burrow 1
182,61.0,294,356,Burrow 2
183,62.0,375,403,A
184,62.0,946,180,Burrow 1
185,62.0,294,356,Burrow 2
186,63.0,376,403,A
187,63.0,946,180,Burrow 1
188,63.0,294,356,Burrow 2
189,64.0,376,403,A
190,64.0,946,180,Burrow 1
191,64.0,294,356,Burrow 2
192,65.0,376,403,A
193,65.0,946,180,Burrow 1
194,65.0,294,356,Burrow 2
195,66.0,376,403,A
196,66.0,946,180,Burrow 1
197,66.0,294,356,Burrow 2
198,67.0,375,403,A
199,67.0,946,180,Burrow 1
200,67.0,294,356,Burrow 2
201,68.0,375,403,A
202,68.0,946,180,Burrow 1
203,68.0,294,356,Burrow 2
204,69.0,375,403,A
205,69.0,946,180,Burrow 1
206,69.0,294,356,Burrow 2
207,70.0,375,403,A
208,70.0,946,180,Burrow 1
209,70.0,294,356,Burrow 2
210,71.0,375,403,A
211,71.0,946,180,Burrow 1
212,71.0,294,356,Burrow 2
213,72.0,375,403,A
214,72.0,946,180,Burrow 1
215,72.0,294,356,Burrow 2
216,73.0,375,403,A
217,73.0,946,180,Burrow 1
218,73.0,294,356,Burrow 2
219,74.0,375,403,A
220,74.0,946,180,Burrow 1
221,74.0,294,356,Burrow 2
222,75.0,375,403,A
223,75.0,946,180,Burrow 1
224,75.0,294,356,Burrow 2
225,76.0,375,403,A
226,76.0,946,180,Burrow 1
227,76.0,294,356,Burrow 2
228,77.0,375,403,A
229,77.0,946,180,Burrow 1
230,77.0,294,356,Burrow 2
231,78.0,375,403,A
232,78.0,946,180,Burrow 1
233,78.0,294,356,Burrow 2
234,79.0,375,403,A
235,79.0,946,180,Burrow 1
236,79.0,294,356,Burrow 2
237,80.0,375,403,A
238,80.0,946,180,Burrow 1
239,80.0,294,356,Burrow 2
240,81.0,375,403,A
241,81.0,946,180,Burrow 1
242,81.0,294,356,Burrow 2
243,82.0,375,403,A
244,82.0,946,180,Burrow 1
245,82.0,294,356,Burrow 2
246,83.0,375,403,A
247,83.0,946,180,Burrow 1
248,83.0,294,356,Burrow 2
249,84.0,375,403,A
250,84.0,946,180,Burrow 1
251,84.0,294,356,Burrow 2
252,85.0,375,403,A
253,85.0,946,180,Burrow 1
254,85.0,294,356,Burrow 2
255,86.0,375,403,A
256,86.0,946,180,Burrow 1
257,86.0,294,356,Burrow 2
258,87.0,375,403,A
259,87.0,946,180,Burrow 1
260,87.0,294,356,Burrow 2
261,88.0,375,403,A
262,88.0,946,180,Burrow 1
263,88.0,294,356,Burrow 2
264,89.0,375,403,A
265,89.0,946,180,Burrow 1
266,89.0,294,356,Burrow 2
267,90.0,375,403,A
268,90.0,946,180,Burrow 1
269,90.0,294,356,Burrow 2
270,91.0,375,403,A
271,91.0,946,180,Burrow 1
272,91.0,294,356,Burrow 2
273,92.0,375,403,A
274,92.0,946,180,Burrow 1
275,92.0,294,356,Burrow 2
276,93.0,375,403,A
277,93.0,946,180,Burrow 1
278,93.0,294,356,Burrow 2
279,94.0,375,404,A
280,94.0,946,180,Burrow 1
281,94.0,294,356,Burrow 2
282,95.0,375,403,A
283,95.0,946,180,Burrow 1
284,95.0,294,356,Burrow 2
285,96.0,375,403,A
286,96.0,946,180,Burrow 1
287,96.0,294,356,Burrow 2
288,97.0,375,403,A
289,97.0,946,180,Burrow 1
290,97.0,294,356,Burrow 2
291,98.0,375,403,A
292,98.0,946,180,Burrow 1
293,98.0,294,356,Burrow 2
294,99.0,375,403,A
295,99.0,946,180,Burrow 1
296,99.0,294,356,Burrow 2
297,100.0,375,403,A
298,100.0,946,180,Burrow 1
299,100.0,294,356,Burrow 2
300,101.0,375,403,A
301,101.0,946,180,Burrow 1
302,101.0,294,356,Burrow 2
303,102.0,376,403,A
304,102.0,946,180,Burrow 1
305,102.0,294,356,Burrow 2
306,103.0,376,403,A
307,103.0,946,180,Burrow 1
308,103.0,294,356,Burrow 2
309,104.0,375,403,A
310,104.0,946,180,Burrow 1
311,104.0,294,356,Burrow 2
312,105.0,375,403,A
313,105.0,946,180,Burrow 1
314,105.0,294,356,Burrow 2
315,106.0,376,403,A
316,106.0,946,180,Burrow 1
317,106.0,294,356,Burrow 2
318,107.0,376,403,A
319,107.0,946,180,Burrow 1
320,107.0,294,356,Burrow 2
321,108.0,376,403,A
322,108.0,946,180,Burrow 1
323,108.0,294,356,Burrow 2
324,109.0,375,403,A
325,109.0,946,180,Burrow 1
326,109.0,294,356,Burrow 2
327,110.0,375,403,A
328,110.0,946,180,Burrow 1
329,110.0,294,356,Burrow 2
330,111.0,375,403,A
331,111.0,946,180,Burrow 1
332,111.0,294,356,Burrow 2
333,112.0,375,403,A
334,112.0,946,180,Burrow 1
335,112.0,294,356,Burrow 2
336,113.0,375,403,A
337,113.0,946,180,Burrow 1
338,113.0,294,356,Burrow 2
339,114.0,376,402,A
340,114.0,946,180,Burrow 1
341,114.0,294,356,Burrow 2
342,115.0,375,403,A
343,115.0,946,180,Burrow 1
344,115.0,294,356,Burrow 2
345,116.0,375,403,A
346,116.0,946,180,Burrow 1
347,116.0,294,356,Burrow 2
348,117.0,375,403,A
349,117.0,946,180,Burrow 1
350,117.0,294,356,Burrow 2
351,118.0,375,403,A
352,118.0,946,180,Burrow 1
353,118.0,294,356,Burrow 2
354,119.0,375,403,A
355,119.0,946,180,Burrow 1
356,119.0,294,356,Burrow 2
357,120.0,375,403,A
358,120.0,946,180,Burrow 1
359,120.0,294,356,Burrow 2
360,121.0,375,403,A
361,121.0,946,180,Burrow 1
362,121.0,294,356,Burrow 2
363,122.0,375,403,A
364,122.0,946,180,Burrow 1
365,122.0,294,356,Burrow 2
366,123.0,376,403,A
367,123.0,946,180,Burrow 1
368,123.0,294,356,Burrow 2
369,124.0,375,403,A
370,124.0,946,180,Burrow 1
371,124.0,294,356,Burrow 2
372,125.0,375,403,A
373,125.0,946,180,Burrow 1
374,125.0,294,356,Burrow 2
375,126.0,375,403,A
376,126.0,946,180,Burrow 1
377,126.0,294,356,Burrow 2
378,127.0,375,403,A
379,127.0,946,180,Burrow 1
380,127.0,294,356,Burrow 2
381,128.0,375,403,A
382,128.0,946,180,Burrow 1
383,128.0,294,356,Burrow 2
384,129.0,375,403,A
385,129.0,946,180,Burrow 1
386,129.0,294,356,Burrow 2
387,130.0,375,403,A
388,130.0,946,180,Burrow 1
389,130.0,294,356,Burrow 2
390,131.0,375,403,A
391,131.0,946,180,Burrow 1
392,131.0,294,356,Burrow 2
393,132.0,376,402,A
394,132.0,946,180,Burrow 1
395,132.0,294,356,Burrow 2
396,133.0,376,403,A
397,133.0,946,180,Burrow 1
398,133.0,294,356,Burrow 2
399,134.0,376,403,A
400,134.0,946,180,Burrow 1
401,134.0,294,356,Burrow 2
402,135.0,376,402,A
403,135.0,946,180,Burrow 1
